access_url,column_name,attribute_type
https://maps.amsterdam.nl/open_geodata/?k=265,Besluitnummer,NominalA
https://maps.amsterdam.nl/open_geodata/?k=265,Omschrijving,
https://maps.amsterdam.nl/open_geodata/?k=265,Pijlen,
https://maps.amsterdam.nl/open_geodata/?k=265,SELECTIE,NominalA
https://maps.amsterdam.nl/open_geodata/?k=265,Status,NominalA
https://maps.amsterdam.nl/open_geodata?WOII,Adres,
https://maps.amsterdam.nl/open_geodata?WOII,Datum,
https://maps.amsterdam.nl/open_geodata?WOII,Foto,
https://maps.amsterdam.nl/open_geodata?WOII,Omschrijving,
https://maps.amsterdam.nl/open_geodata?WOII,Soort,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,AUTO,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,BREED_VERVOER,
https://maps.amsterdam.nl/open_geodata/?k=233,BUS,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,FIETS,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,GME_NAAM,
https://maps.amsterdam.nl/open_geodata/?k=233,LINKNR,
https://maps.amsterdam.nl/open_geodata/?k=233,MAX_SNELHEID,OrdinalA
https://maps.amsterdam.nl/open_geodata/?k=233,RIJRICHTINGEN,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,STT_NAAM,
https://maps.amsterdam.nl/open_geodata/?k=233,TRAM,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,VOET,NominalA
https://maps.amsterdam.nl/open_geodata/?k=233,WPSNAAMNEN,
https://maps.amsterdam.nl/open_geodata/?k=233,WVK_ID,
https://maps.amsterdam.nl/open_geodata/?k=296,BOOM_ID,
https://maps.amsterdam.nl/open_geodata/?k=296,BOOMSOORT,
https://maps.amsterdam.nl/open_geodata/?k=296,DIAMETERKLASSE,
https://maps.amsterdam.nl/open_geodata/?k=296,HOOGTEKLASSE,
https://maps.amsterdam.nl/open_geodata/?k=296,PLANTJAAR,
https://maps.amsterdam.nl/open_geodata/?k=136,Aantal_kasten,
https://maps.amsterdam.nl/open_geodata/?k=136,Aantal_volken,RatioA
https://maps.amsterdam.nl/open_geodata?WONINGWAARDE_2018_INFLATIE,Lower,RatioA
https://maps.amsterdam.nl/open_geodata?WONINGWAARDE_2018_INFLATIE,Upper,RatioA
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Foto,
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Locatie,
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Naam,
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Omheining,NominalA
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Omschrijving,
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Ondergrond,NominalA
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Oppervlak,RatioA
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Overdekt,BooleanA
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Sportvoorziening,NominalA
https://maps.amsterdam.nl/open_geodata?SPORT_OPENBAAR,Verlichting,BooleanA
https://maps.amsterdam.nl/open_geodata/?k=208,Bouwjaar,OrdinalA
https://maps.amsterdam.nl/open_geodata/?k=208,CORP,NominalA
https://maps.amsterdam.nl/open_geodata/?k=208,Corporatie,NominalA
https://maps.amsterdam.nl/open_geodata/?k=208,Corporatie_woningen,RatioA
https://maps.amsterdam.nl/open_geodata/?k=208,Onzelfstandig,RatioA
https://maps.amsterdam.nl/open_geodata/?k=208,PERC,IntervalA
https://maps.amsterdam.nl/open_geodata/?k=208,Percentage,IntervalA
https://maps.amsterdam.nl/open_geodata/?k=208,Woningen_in_blok,RatioA
https://maps.amsterdam.nl/open_geodata/?k=208,Zelfstandig,RatioA
https://maps.amsterdam.nl/open_geodata/?k=123,Artikelen,NominalA
https://maps.amsterdam.nl/open_geodata/?k=123,Dagen,
https://maps.amsterdam.nl/open_geodata/?k=123,Dinsdag,
https://maps.amsterdam.nl/open_geodata/?k=123,Donderdag,
https://maps.amsterdam.nl/open_geodata/?k=123,Gemeente,BooleanA
https://maps.amsterdam.nl/open_geodata/?k=123,Locatie,
https://maps.amsterdam.nl/open_geodata/?k=123,Maandag,
